Date,Num. HTs,Entropy, HHI
2009-03-20 07:00,3,1.098612,0.000000
2009-04-09 13:00,3,1.098612,0.000000
2010-03-06 15:00,1,-0.000000,1.000000
2010-10-23 13:00,1,-0.000000,1.000000
2011-01-25 22:00,11,2.305657,0.018837
2011-01-25 23:00,16,2.609247,0.023956
2011-01-26 03:00,5,1.559581,0.023437
2011-01-26 23:00,3,1.098612,0.000000
2011-01-27 00:00,3,1.098612,0.000000
2011-01-27 14:00,3,1.098612,0.000000
2011-01-28 00:00,3,1.098612,0.000000
2011-01-28 02:00,9,2.145842,0.014463
2011-01-28 03:00,3,1.098612,0.000000
2011-01-28 04:00,2,0.693147,0.000000
2011-01-28 05:00,4,1.386294,0.000000
2011-01-28 06:00,5,1.559581,0.023437
2011-01-28 07:00,3,1.098612,0.000000
2011-01-28 13:00,2,0.693147,0.000000
2011-01-28 14:00,4,0.891662,0.270000
2011-01-28 15:00,2,0.693147,0.000000
2011-01-28 16:00,5,1.549826,0.030612
2011-01-28 17:00,5,1.274643,0.166667
2011-01-28 18:00,6,1.376886,0.177778
2011-01-28 19:00,7,1.925121,0.005917
2011-01-28 20:00,3,1.023929,0.074219
2011-01-28 21:00,19,2.682343,0.036527
2011-01-28 22:00,19,2.586952,0.061728
2011-01-28 23:00,13,2.363116,0.038709
2011-01-29 00:00,14,2.507710,0.019468
2011-01-29 01:00,6,1.594167,0.087603
2011-01-29 02:00,10,2.187322,0.027778
2011-01-29 04:00,12,2.281420,0.045145
2011-01-29 05:00,6,1.605207,0.076923
2011-01-29 06:00,5,1.609438,0.000000
2011-01-29 07:00,4,1.332245,0.037475
2011-01-29 11:00,3,1.098612,0.000000
2011-01-29 12:00,3,1.098612,0.000000
2011-01-29 13:00,7,1.846140,0.027394
2011-01-29 14:00,7,1.945910,0.000000
2011-01-29 15:00,2,0.693147,0.000000
2011-01-29 16:00,5,1.609438,0.000000
2011-01-29 17:00,7,1.945910,0.000000
2011-01-29 18:00,7,1.533150,0.122891
2011-01-29 19:00,5,1.315334,0.116667
2011-01-29 20:00,19,2.601184,0.055213
2011-01-29 21:00,2,0.693147,0.000000
2011-01-29 22:00,6,1.748155,0.016667
2011-01-29 23:00,2,0.693147,0.000000
2011-01-30 00:00,3,1.098612,0.000000
2011-01-30 01:00,8,1.846889,0.078717
2011-01-30 02:00,4,1.386294,0.000000
2011-01-30 03:00,4,1.255482,0.083333
2011-01-30 04:00,2,0.693147,0.000000
2011-01-30 05:00,3,1.098612,0.000000
2011-01-30 06:00,3,1.098612,0.000000
2011-01-30 11:00,3,1.098612,0.000000
2011-01-30 12:00,5,1.494175,0.062500
2011-01-30 13:00,8,1.979205,0.031746
2011-01-30 14:00,14,2.241037,0.087969
2011-01-30 15:00,7,1.537207,0.148605
2011-01-30 16:00,13,2.116385,0.097222
2011-01-30 17:00,14,2.441215,0.041538
2011-01-30 18:00,9,2.041345,0.040166
2011-01-30 19:00,5,1.464816,0.074074
2011-01-30 20:00,12,2.146766,0.054397
2011-01-30 21:00,5,1.609438,0.000000
2011-01-30 22:00,8,2.012927,0.013850
2011-01-31 00:00,7,1.635092,0.118519
2011-01-31 01:00,5,1.549826,0.030612
2011-01-31 02:00,2,0.693147,0.000000
2011-01-31 03:00,17,2.651975,0.025357
2011-01-31 04:00,3,1.098612,0.000000
2011-01-31 05:00,12,2.152817,0.047652
2011-01-31 06:00,9,2.132413,0.013233
2011-01-31 07:00,7,1.945910,0.000000
2011-01-31 08:00,12,2.441015,0.009276
2011-01-31 09:00,10,2.232694,0.015082
2011-01-31 10:00,10,2.271869,0.008264
2011-01-31 11:00,7,1.945910,0.000000
2011-01-31 12:00,2,0.693147,0.000000
2011-01-31 13:00,3,1.098612,0.000000
2011-01-31 14:00,12,2.370135,0.023569
2011-01-31 15:00,15,2.342554,0.070165
2011-01-31 16:00,11,2.397895,0.000000
2011-01-31 17:00,9,2.145842,0.014463
2011-01-31 18:00,21,2.643963,0.038148
2011-01-31 19:00,7,1.618849,0.121399
2011-01-31 20:00,3,1.082196,0.015625
2011-01-31 21:00,15,2.418561,0.052381
2011-01-31 22:00,7,1.772139,0.059524
2011-01-31 23:00,2,0.693147,0.000000
2011-02-01 00:00,2,0.693147,0.000000
2011-02-01 02:00,9,1.917733,0.059671
2011-02-01 03:00,6,1.648847,0.057143
2011-02-01 04:00,5,1.609438,0.000000
2011-02-01 06:00,13,2.278123,0.066515
2011-02-01 07:00,9,2.197225,0.000000
2011-02-01 09:00,10,2.186340,0.027463
2011-02-01 10:00,6,1.791759,0.000000
2011-02-01 12:00,5,1.549826,0.030612
2011-02-01 13:00,11,1.794347,0.124693
2011-02-01 14:00,9,2.145842,0.014463
2011-02-01 15:00,3,1.098612,0.000000
2011-02-01 16:00,7,1.807805,0.040634
2011-02-01 17:00,3,1.098612,0.000000
2011-02-01 18:00,3,1.098612,0.000000
2011-02-01 19:00,10,2.245035,0.013807
2011-02-01 20:00,7,1.893788,0.016529
2011-02-01 21:00,7,1.945910,0.000000
2011-02-01 22:00,6,1.791759,0.000000
2011-02-01 23:00,2,0.693147,0.000000
2011-02-02 00:00,6,1.747868,0.020408
2011-02-02 01:00,1,-0.000000,1.000000
2011-02-02 02:00,4,1.329661,0.037037
2011-02-02 03:00,4,1.332179,0.040000
2011-02-02 10:00,6,1.791759,0.000000
2011-02-02 11:00,3,1.098612,0.000000
2011-02-02 13:00,7,1.908535,0.011905
2011-02-02 14:00,14,2.382306,0.040315
2011-02-02 15:00,12,2.406374,0.011896
2011-02-02 16:00,2,0.693147,0.000000
2011-02-02 17:00,6,1.791759,0.000000
2011-02-02 18:00,4,0.878055,0.275482
2011-02-02 19:00,8,1.852717,0.067937
2011-02-02 20:00,4,1.162226,0.140496
2011-02-02 21:00,9,1.707002,0.154000
2011-02-02 22:00,347,3.066501,0.150421
2011-02-02 23:00,1364,3.271290,0.135138
2011-02-03 00:00,554,3.307915,0.135436
2011-02-03 01:00,658,3.118309,0.149228
2011-02-03 02:00,1264,2.924100,0.161910
2011-02-03 03:00,1473,2.942620,0.196718
2011-02-03 04:00,1269,2.995094,0.169550
2011-02-03 05:00,944,3.148499,0.145205
2011-02-03 16:00,527,3.073803,0.134467
