Date,Users,Tweets
2009-03-20 07:00,1,1
2009-04-09 13:00,1,1
2010-03-06 15:00,1,1
2010-10-23 13:00,1,1
2011-01-25 22:00,1,3
2011-01-25 23:00,5,10
2011-01-26 03:00,1,2
2011-01-26 23:00,1,1
2011-01-27 00:00,1,1
2011-01-27 14:00,1,1
2011-01-28 00:00,1,1
2011-01-28 02:00,2,2
2011-01-28 03:00,1,1
2011-01-28 04:00,1,1
2011-01-28 05:00,1,1
2011-01-28 06:00,2,2
2011-01-28 07:00,2,2
2011-01-28 13:00,1,1
2011-01-28 14:00,19,20
2011-01-28 15:00,5,5
2011-01-28 16:00,2,2
2011-01-28 17:00,6,6
2011-01-28 18:00,7,7
2011-01-28 19:00,4,4
2011-01-28 20:00,10,10
2011-01-28 21:00,14,16
2011-01-28 22:00,8,9
2011-01-28 23:00,10,10
2011-01-29 00:00,8,9
2011-01-29 01:00,3,3
2011-01-29 02:00,2,3
2011-01-29 04:00,3,5
2011-01-29 05:00,3,4
2011-01-29 06:00,1,1
2011-01-29 07:00,3,3
2011-01-29 11:00,1,1
2011-01-29 12:00,1,1
2011-01-29 13:00,7,7
2011-01-29 14:00,3,3
2011-01-29 15:00,1,1
2011-01-29 16:00,2,2
2011-01-29 17:00,1,1
2011-01-29 18:00,22,26
2011-01-29 19:00,27,30
2011-01-29 20:00,9,9
2011-01-29 21:00,2,2
2011-01-29 22:00,4,5
2011-01-29 23:00,1,1
2011-01-30 00:00,1,1
2011-01-30 01:00,4,4
2011-01-30 02:00,2,2
2011-01-30 03:00,3,3
2011-01-30 04:00,1,1
2011-01-30 05:00,1,1
2011-01-30 06:00,1,1
2011-01-30 11:00,3,3
2011-01-30 12:00,3,3
2011-01-30 13:00,3,3
2011-01-30 14:00,14,18
2011-01-30 15:00,10,11
2011-01-30 16:00,12,14
2011-01-30 17:00,3,4
2011-01-30 18:00,7,7
2011-01-30 19:00,2,3
2011-01-30 20:00,49,49
2011-01-30 21:00,2,2
2011-01-30 22:00,2,6
2011-01-31 00:00,5,5
2011-01-31 01:00,2,2
2011-01-31 02:00,2,2
2011-01-31 03:00,4,6
2011-01-31 04:00,1,1
2011-01-31 05:00,12,12
2011-01-31 06:00,3,3
2011-01-31 07:00,1,1
2011-01-31 08:00,3,3
2011-01-31 09:00,3,3
2011-01-31 10:00,2,2
2011-01-31 11:00,1,1
2011-01-31 12:00,4,4
2011-01-31 13:00,1,1
2011-01-31 14:00,4,4
2011-01-31 15:00,8,8
2011-01-31 16:00,1,1
2011-01-31 17:00,2,2
2011-01-31 18:00,11,11
2011-01-31 19:00,6,6
2011-01-31 20:00,3,3
2011-01-31 21:00,5,6
2011-01-31 22:00,3,4
2011-01-31 23:00,1,1
2011-02-01 00:00,1,1
2011-02-01 02:00,17,17
2011-02-01 03:00,4,4
2011-02-01 04:00,1,2
2011-02-01 06:00,6,6
2011-02-01 07:00,1,1
2011-02-01 09:00,4,4
2011-02-01 10:00,1,1
2011-02-01 12:00,2,2
2011-02-01 13:00,13,19
2011-02-01 14:00,3,3
2011-02-01 15:00,1,1
2011-02-01 16:00,5,5
2011-02-01 17:00,1,1
2011-02-01 18:00,1,1
2011-02-01 19:00,3,3
2011-02-01 20:00,3,3
2011-02-01 21:00,1,1
2011-02-01 22:00,2,2
2011-02-01 23:00,1,1
2011-02-02 00:00,2,2
2011-02-02 01:00,1,1
2011-02-02 02:00,3,3
2011-02-02 03:00,2,2
2011-02-02 10:00,1,1
2011-02-02 11:00,1,1
2011-02-02 13:00,3,3
2011-02-02 14:00,8,9
2011-02-02 15:00,11,11
2011-02-02 16:00,2,2
2011-02-02 17:00,1,1
2011-02-02 18:00,18,20
2011-02-02 19:00,10,11
2011-02-02 20:00,9,10
2011-02-02 21:00,9,9
2011-02-02 22:00,1236,1545
2011-02-02 23:00,6494,11645
2011-02-03 00:00,1743,2393
2011-02-03 01:00,2983,4721
2011-02-03 02:00,7160,16350
2011-02-03 03:00,9403,18801
2011-02-03 04:00,7415,13601
2011-02-03 05:00,4282,7781
2011-02-03 16:00,2317,3532
2011-02-03 17:00,8852,16635
2011-02-03 18:00,8910,16663
2011-02-03 19:00,9900,17808
2011-02-03 20:00,8790,15917
2011-02-03 21:00,7345,13013
2011-02-03 22:00,7138,12887
2011-02-03 23:00,6359,10959
2011-02-04 00:00,4494,7644
2011-02-04 01:00,4853,7907
2011-02-04 02:00,3864,6402
2011-02-04 03:00,4243,7341
2011-02-04 04:00,3585,6688
2011-02-04 05:00,3424,6329
2011-02-04 06:00,3358,5925
2011-02-04 07:00,3460,6627
2011-02-04 08:00,3633,6774
2011-02-04 09:00,3916,7410
