Date,Num. HTs,Entropy, HHI
2011-09-14 17:00,4,0.995821,0.240000
2011-09-14 18:00,34,2.278758,0.219447
2011-09-14 20:00,32,2.663419,0.097699
2011-09-14 21:00,58,3.295226,0.063374
2011-09-14 22:00,43,2.652720,0.145292
2011-09-14 23:00,77,3.480986,0.051493
2011-09-15 00:00,71,3.360340,0.059349
2011-09-15 01:00,51,3.068932,0.072756
2011-09-15 02:00,46,3.206107,0.060431
2011-09-15 03:00,33,2.821290,0.070559
2011-09-15 04:00,41,2.599322,0.110738
2011-09-15 05:00,29,2.517367,0.119584
2011-09-15 06:00,32,2.887987,0.062309
2011-09-15 07:00,33,2.981022,0.053556
2011-09-15 08:00,25,2.660870,0.082683
2011-09-15 09:00,47,3.286788,0.046572
2011-09-15 10:00,38,3.091412,0.040346
2011-09-15 11:00,32,3.087659,0.040658
2011-09-15 12:00,35,2.694642,0.102767
2011-09-15 13:00,43,3.148751,0.049307
2011-09-15 14:00,33,2.833058,0.069442
2011-09-15 15:00,25,2.332784,0.174247
2011-09-16 23:00,2,0.693147,0.000000
2011-09-17 02:00,2,0.693147,0.000000
2011-09-17 04:00,2,0.693147,0.000000
2011-09-17 06:00,2,0.693147,0.000000
2011-09-17 12:00,11,2.283687,0.022684
2011-09-17 13:00,15,2.500002,0.028972
2011-09-17 14:00,13,2.516410,0.007559
2011-09-17 19:00,4,1.242453,0.111111
2011-09-17 21:00,2,0.693147,0.000000
2011-09-18 00:00,43,2.713236,0.093924
2011-09-18 01:00,53,2.948450,0.084474
2011-09-18 02:00,59,2.962135,0.090162
2011-09-18 18:00,2,0.693147,0.000000
2011-09-18 19:00,2,0.693147,0.000000
2011-09-19 16:00,44,2.871878,0.089140
2011-09-19 18:00,54,2.923827,0.097754
2011-09-19 19:00,59,2.971739,0.093776
2011-09-19 20:00,63,3.119232,0.086998
2011-09-19 22:00,54,3.017922,0.077129
2011-09-19 23:00,59,3.107116,0.084843
2011-09-20 01:00,51,2.939881,0.091498
2011-09-20 03:00,53,2.889805,0.105857
2011-09-20 04:00,101,3.678854,0.058667
2011-09-20 05:00,51,3.019691,0.084581
2011-09-20 07:00,28,2.859534,0.065556
2011-09-20 08:00,69,3.128163,0.081489
2011-09-20 09:00,78,3.176800,0.098366
2011-09-20 10:00,58,3.171202,0.072319
2011-09-20 11:00,60,3.075560,0.092183
2011-09-20 12:00,45,2.782721,0.109054
2011-09-20 13:00,53,2.730723,0.135969
2011-09-20 14:00,51,3.021626,0.066721
2011-09-20 16:00,47,2.669125,0.145148
2011-09-20 23:00,63,3.292274,0.059375
2011-09-21 01:00,65,3.283142,0.067639
2011-09-21 02:00,51,2.907567,0.093288
2011-09-21 03:00,55,2.809004,0.125128
2011-09-21 04:00,46,2.774150,0.111456
2011-09-21 08:00,74,3.320456,0.072703
2011-09-21 09:00,80,3.474084,0.066632
2011-09-21 10:00,63,2.948217,0.129076
2011-09-21 13:00,81,3.463443,0.070296
2011-09-21 14:00,61,3.053433,0.096548
2011-09-21 16:00,46,2.887630,0.088121
2011-09-21 17:00,45,2.682326,0.127729
2011-09-21 18:00,54,3.003043,0.099400
