Date,Users,Tweets
2011-09-14 17:00,12,12
2011-09-14 18:00,76,88
2011-09-14 20:00,57,72
2011-09-14 21:00,50,62
2011-09-14 22:00,91,128
2011-09-14 23:00,66,105
2011-09-15 00:00,67,105
2011-09-15 01:00,50,89
2011-09-15 02:00,38,52
2011-09-15 03:00,50,61
2011-09-15 04:00,80,100
2011-09-15 05:00,48,58
2011-09-15 06:00,37,39
2011-09-15 07:00,28,42
2011-09-15 08:00,31,33
2011-09-15 09:00,23,43
2011-09-15 10:00,37,39
2011-09-15 11:00,18,27
2011-09-15 12:00,44,64
2011-09-15 13:00,61,77
2011-09-15 14:00,47,66
2011-09-15 15:00,29,55
2011-09-16 23:00,1,1
2011-09-17 02:00,1,1
2011-09-17 04:00,1,1
2011-09-17 06:00,3,3
2011-09-17 12:00,2,4
2011-09-17 13:00,5,6
2011-09-17 14:00,2,2
2011-09-17 19:00,1,2
2011-09-17 21:00,1,1
2011-09-18 00:00,92,100
2011-09-18 01:00,89,100
2011-09-18 02:00,90,100
2011-09-18 18:00,1,1
2011-09-18 19:00,1,1
2011-09-19 16:00,80,100
2011-09-19 18:00,84,100
2011-09-19 19:00,90,100
2011-09-19 20:00,87,100
2011-09-19 22:00,82,100
2011-09-19 23:00,81,100
2011-09-20 01:00,69,100
2011-09-20 03:00,64,100
2011-09-20 04:00,52,100
2011-09-20 05:00,75,100
2011-09-20 07:00,17,27
2011-09-20 08:00,93,152
2011-09-20 09:00,77,121
2011-09-20 10:00,63,100
2011-09-20 11:00,57,100
2011-09-20 12:00,65,100
2011-09-20 13:00,75,100
2011-09-20 14:00,81,100
2011-09-20 16:00,95,101
2011-09-20 23:00,73,100
2011-09-21 01:00,73,100
2011-09-21 02:00,72,100
2011-09-21 03:00,74,100
2011-09-21 04:00,83,100
2011-09-21 08:00,58,100
2011-09-21 09:00,77,100
2011-09-21 10:00,71,100
2011-09-21 13:00,60,100
2011-09-21 14:00,87,100
2011-09-21 16:00,81,100
2011-09-21 17:00,80,101
2011-09-21 18:00,73,100
2011-09-21 19:00,13,13
2011-09-21 20:00,76,87
2011-09-21 21:00,85,100
2011-09-21 22:00,74,100
2011-09-21 23:00,82,100
2011-09-22 00:00,401,667
2011-09-22 01:00,483,799
2011-09-22 02:00,443,672
2011-09-22 03:00,419,795
2011-09-22 04:00,423,661
2011-09-22 05:00,409,642
2011-09-22 06:00,266,415
2011-09-22 07:00,65,100
2011-09-22 08:00,61,100
2011-09-22 09:00,63,100
2011-09-22 10:00,82,175
2011-09-22 11:00,79,111
2011-09-22 12:00,74,114
2011-09-22 13:00,300,466
2011-09-22 14:00,459,770
2011-09-22 15:00,498,869
2011-09-22 16:00,464,821
2011-09-22 17:00,436,803
2011-09-22 18:00,422,846
2011-09-22 19:00,379,618
2011-09-22 20:00,561,930
2011-09-22 21:00,135,169
2011-09-22 22:00,66,80
2011-09-22 23:00,764,1751
2011-09-23 00:00,1410,3513
2011-09-23 01:00,672,1540
