Date,Num. HTs,Entropy, HHI
2011-10-23 13:00,1,-0.000000,1.000000
2011-10-23 14:00,452,2.819083,0.200879
2011-10-23 15:00,542,3.094523,0.172109
2011-10-23 16:00,493,2.931882,0.197117
2011-10-23 17:00,452,2.812507,0.197527
2011-10-23 18:00,480,2.725512,0.212537
2011-10-23 19:00,348,2.756949,0.213771
2011-10-23 20:00,451,2.664659,0.246537
2011-10-23 21:00,540,2.881150,0.208758
2011-10-23 22:00,553,3.048877,0.201678
2011-10-23 23:00,420,3.067197,0.195701
2011-10-24 00:00,295,3.133272,0.158554
2011-10-24 01:00,214,3.440947,0.103271
2011-10-24 02:00,179,3.361390,0.094011
2011-10-24 03:00,213,3.613359,0.075702
2011-10-24 04:00,258,3.429924,0.093993
2011-10-24 05:00,281,2.992013,0.142141
2011-10-24 06:00,325,2.919284,0.179022
2011-10-24 07:00,362,2.931083,0.204746
2011-10-24 08:00,387,2.833340,0.195693
2011-10-24 09:00,393,2.825673,0.206895
2011-10-24 10:00,432,2.648236,0.207854
2011-10-24 11:00,449,2.804251,0.215883
2011-10-24 12:00,435,2.722042,0.231232
2011-10-24 13:00,475,3.129770,0.171210
2011-10-24 14:00,470,2.879045,0.207940
2011-10-24 15:00,431,2.682412,0.250157
2011-10-24 16:00,425,2.597255,0.242729
2011-10-24 17:00,476,3.011823,0.224852
2011-10-24 18:00,403,2.920482,0.214682
2011-10-24 19:00,394,2.928909,0.199426
2011-10-24 20:00,416,2.700346,0.272333
2011-10-24 21:00,288,2.521293,0.292570
2011-10-24 22:00,287,2.920681,0.219398
2011-10-24 23:00,248,3.156858,0.146636
2011-10-25 00:00,168,3.248684,0.120793
2011-10-25 01:00,122,3.279655,0.094770
2011-10-25 02:00,131,3.858066,0.049940
2011-10-25 03:00,119,3.655360,0.062887
2011-10-25 04:00,131,3.201478,0.119930
2011-10-25 05:00,203,3.467438,0.115062
2011-10-25 06:00,234,2.956489,0.188232
2011-10-25 07:00,223,2.672769,0.230482
2011-10-25 08:00,239,2.894330,0.180539
2011-10-25 09:00,323,2.843158,0.226878
2011-10-25 10:00,320,2.965455,0.163850
2011-10-25 11:00,327,2.979131,0.125775
2011-10-25 12:00,332,2.954560,0.145083
2011-10-25 13:00,375,3.210906,0.131933
2011-10-25 14:00,425,3.249613,0.126640
2011-10-25 15:00,381,3.498537,0.091797
2011-10-25 16:00,370,3.284906,0.117286
2011-10-25 17:00,398,3.177504,0.128394
2011-10-25 18:00,369,3.138910,0.154035
2011-10-25 19:00,420,3.155809,0.162938
2011-10-25 20:00,413,3.102193,0.155824
2011-10-25 21:00,382,3.348758,0.122504
2011-10-25 22:00,311,3.367905,0.091445
2011-10-25 23:00,231,3.220943,0.137906
2011-10-26 00:00,171,3.276776,0.100512
2011-10-26 01:00,108,3.299504,0.081626
2011-10-26 02:00,130,3.814528,0.060317
2011-10-26 03:00,121,3.748802,0.054758
2011-10-26 04:00,120,3.361665,0.086668
2011-10-26 05:00,153,3.385360,0.098514
2011-10-26 06:00,217,3.089464,0.112918
2011-10-26 07:00,204,3.079010,0.142430
2011-10-26 08:00,285,3.208055,0.127265
2011-10-26 09:00,249,3.048903,0.144669
2011-10-26 10:00,253,2.900319,0.198899
2011-10-26 11:00,232,3.033657,0.170736
2011-10-26 12:00,284,3.519761,0.107641
2011-10-26 13:00,363,3.656869,0.119228
2011-10-26 14:00,342,3.630674,0.111237
2011-10-26 15:00,366,3.330917,0.125625
2011-10-26 16:00,343,3.041781,0.164252
2011-10-26 17:00,269,3.164058,0.149361
2011-10-26 18:00,257,3.329500,0.137480
2011-10-26 19:00,285,3.069796,0.152951
2011-10-26 20:00,360,3.247193,0.164311
2011-10-26 21:00,333,3.197962,0.168641
2011-10-26 22:00,238,3.040441,0.163019
2011-10-26 23:00,226,3.422622,0.106614
2011-10-27 00:00,111,3.257079,0.107761
2011-10-27 01:00,100,3.510224,0.072304
2011-10-27 02:00,136,4.018116,0.022630
2011-10-27 03:00,154,3.953797,0.035719
2011-10-27 04:00,90,3.361441,0.065847
2011-10-27 05:00,138,3.537278,0.090511
2011-10-27 06:00,170,3.405058,0.111434
2011-10-27 07:00,230,3.402675,0.091695
2011-10-27 08:00,237,3.390452,0.092455
2011-10-27 09:00,221,3.448338,0.108949
2011-10-27 10:00,227,3.460468,0.095606
2011-10-27 11:00,213,3.390147,0.096381
2011-10-27 12:00,283,3.458984,0.103060
2011-10-27 13:00,218,3.383149,0.113393
2011-10-27 14:00,294,3.624882,0.084420
2011-10-27 15:00,260,3.410739,0.098995
2011-10-27 16:00,278,3.638313,0.092511
2011-10-27 17:00,258,3.883641,0.070561
2011-10-27 18:00,229,3.695004,0.075349
2011-10-27 19:00,208,3.336098,0.105605
2011-10-27 20:00,235,3.613763,0.071503
2011-10-27 21:00,198,3.725637,0.083723
2011-10-27 22:00,193,3.892116,0.064698
2011-10-27 23:00,110,2.859674,0.150814
2011-10-28 00:00,154,4.017174,0.035957
2011-10-28 01:00,112,2.853498,0.126536
2011-10-28 02:00,131,3.749529,0.058704
2011-10-28 03:00,112,3.824197,0.048078
2011-10-28 04:00,114,3.801966,0.037248
2011-10-28 05:00,103,3.463886,0.071016
2011-10-28 06:00,153,3.548174,0.074469
2011-10-28 07:00,157,3.335654,0.086250
2011-10-28 08:00,219,3.781730,0.072193
2011-10-28 09:00,161,3.560325,0.081478
2011-10-28 10:00,156,3.508166,0.076075
2011-10-28 11:00,208,3.743219,0.071376
2011-10-28 12:00,187,1.960322,0.170033
2011-10-28 13:00,199,2.104383,0.159895
2011-10-28 14:00,210,3.511272,0.072299
2011-10-28 15:00,180,3.763172,0.063969
2011-10-28 16:00,214,3.866380,0.072165
2011-10-28 17:00,258,4.139483,0.041810
2011-10-28 18:00,189,3.824849,0.075607
2011-10-28 19:00,210,4.211423,0.037890
2011-10-28 20:00,200,3.994169,0.045840
2011-10-28 21:00,162,3.827722,0.054742
2011-10-28 22:00,132,3.820395,0.058115
2011-10-28 23:00,144,3.654246,0.048415
2011-10-29 00:00,118,3.962022,0.032093
2011-10-29 01:00,72,3.642732,0.039621
2011-10-29 02:00,70,3.818921,0.023040
2011-10-29 03:00,68,3.641435,0.041828
2011-10-29 04:00,52,3.623115,0.021176
2011-10-29 05:00,66,3.529645,0.046500
2011-10-29 06:00,98,3.247060,0.117441
2011-10-29 07:00,85,3.313588,0.077357
2011-10-29 08:00,115,3.488279,0.088100
2011-10-29 09:00,125,3.716476,0.059709
2011-10-29 10:00,171,4.081911,0.039717
2011-10-29 11:00,158,3.726455,0.058553
2011-10-29 12:00,188,3.967407,0.050635
2011-10-29 13:00,209,4.134939,0.043224
2011-10-29 14:00,190,3.749412,0.086288
2011-10-29 15:00,182,4.119469,0.037061
2011-10-29 16:00,212,4.124536,0.043839
2011-10-29 17:00,148,3.748565,0.050925
2011-10-29 18:00,174,4.131672,0.035337
2011-10-29 19:00,179,4.159072,0.042943
2011-10-29 20:00,156,4.006711,0.050003
2011-10-29 21:00,135,3.965430,0.044485
2011-10-29 22:00,133,3.522651,0.069989
2011-10-29 23:00,87,3.455709,0.074387
2011-10-30 00:00,109,3.541140,0.095219
2011-10-30 01:00,50,3.423389,0.031280
2011-10-30 02:00,86,4.068566,0.018312
2011-10-30 03:00,66,3.693005,0.030381
2011-10-30 04:00,50,3.544409,0.026844
2011-10-30 05:00,58,3.484153,0.042810
2011-10-30 06:00,82,3.801944,0.033690
2011-10-30 07:00,101,3.806754,0.036131
2011-10-30 08:00,93,3.532592,0.060206
2011-10-30 09:00,115,3.851548,0.043857
2011-10-30 10:00,101,3.552213,0.053696
2011-10-30 11:00,136,3.747750,0.038483
2011-10-30 12:00,153,3.565843,0.050175
2011-10-30 13:00,107,3.548946,0.052026
2011-10-30 14:00,127,3.852628,0.036384
2011-10-30 15:00,145,3.880847,0.028096
2011-10-30 16:00,130,3.943386,0.041047
2011-10-30 17:00,179,4.068434,0.025130
2011-10-30 18:00,209,4.193527,0.023011
2011-10-30 19:00,191,4.156920,0.027556
2011-10-30 20:00,151,3.812816,0.061315
2011-10-30 21:00,163,3.927244,0.041345
2011-10-30 22:00,148,4.053213,0.049065
2011-10-30 23:00,137,3.651773,0.031267
2011-10-31 00:00,122,4.123227,0.016184
2011-10-31 01:00,65,3.501082,0.041758
2011-10-31 02:00,56,3.476743,0.045942
2011-10-31 03:00,88,3.128278,0.065666
2011-10-31 04:00,50,3.252874,0.056247
2011-10-31 05:00,61,3.647845,0.027991
2011-10-31 06:00,112,3.974459,0.031349
2011-10-31 07:00,93,3.721800,0.048886
2011-10-31 08:00,124,3.797094,0.051265
2011-10-31 09:00,103,3.851607,0.036296
2011-10-31 10:00,92,3.502023,0.055894
2011-10-31 11:00,96,3.550477,0.061781
2011-10-31 12:00,153,4.177519,0.032713
2011-10-31 13:00,131,3.945727,0.045199
2011-10-31 14:00,162,3.969190,0.052276
2011-10-31 15:00,150,3.996904,0.044505
2011-10-31 16:00,135,3.961011,0.039935
2011-10-31 17:00,121,3.935098,0.035182
2011-10-31 18:00,160,4.004189,0.042776
2011-10-31 19:00,114,3.703128,0.036044
2011-10-31 20:00,131,3.668819,0.045543
2011-10-31 21:00,114,3.908167,0.026794
2011-10-31 22:00,105,3.642002,0.058941
