Date,Users,Tweets
2011-10-23 13:00,1,1
2011-10-23 14:00,3704,5356
2011-10-23 15:00,3553,5281
2011-10-23 16:00,3935,5568
2011-10-23 17:00,3781,5401
2011-10-23 18:00,4205,5959
2011-10-23 19:00,2874,3614
2011-10-23 20:00,3770,5310
2011-10-23 21:00,4783,7175
2011-10-23 22:00,3470,5690
2011-10-23 23:00,2026,3527
2011-10-24 00:00,1073,1737
2011-10-24 01:00,494,748
2011-10-24 02:00,415,573
2011-10-24 03:00,493,646
2011-10-24 04:00,732,915
2011-10-24 05:00,1153,1524
2011-10-24 06:00,1398,1898
2011-10-24 07:00,1788,2569
2011-10-24 08:00,2243,3190
2011-10-24 09:00,2609,3793
2011-10-24 10:00,3581,5103
2011-10-24 11:00,3334,4907
2011-10-24 12:00,3088,4520
2011-10-24 13:00,2641,3999
2011-10-24 14:00,2439,3702
2011-10-24 15:00,2555,3676
2011-10-24 16:00,3036,4383
2011-10-24 17:00,2348,3375
2011-10-24 18:00,2178,3055
2011-10-24 19:00,2431,3592
2011-10-24 20:00,2328,3391
2011-10-24 21:00,1833,2806
2011-10-24 22:00,1166,1688
2011-10-24 23:00,683,995
2011-10-25 00:00,344,501
2011-10-25 01:00,197,259
2011-10-25 02:00,142,183
2011-10-25 03:00,149,175
2011-10-25 04:00,296,353
2011-10-25 05:00,387,489
2011-10-25 06:00,707,979
2011-10-25 07:00,974,1364
2011-10-25 08:00,1178,1624
2011-10-25 09:00,1453,1933
2011-10-25 10:00,1605,2018
2011-10-25 11:00,2160,2812
2011-10-25 12:00,2056,2894
2011-10-25 13:00,1885,2715
2011-10-25 14:00,1878,2537
2011-10-25 15:00,1869,2637
2011-10-25 16:00,1684,2431
2011-10-25 17:00,1614,2102
2011-10-25 18:00,1566,2143
2011-10-25 19:00,1809,2541
2011-10-25 20:00,2057,2947
2011-10-25 21:00,1596,2366
2011-10-25 22:00,1248,1799
2011-10-25 23:00,597,880
2011-10-26 00:00,373,548
2011-10-26 01:00,192,276
2011-10-26 02:00,137,164
2011-10-26 03:00,132,164
2011-10-26 04:00,204,280
2011-10-26 05:00,306,379
2011-10-26 06:00,843,1112
2011-10-26 07:00,715,938
2011-10-26 08:00,875,1399
2011-10-26 09:00,1035,1473
2011-10-26 10:00,1189,1630
2011-10-26 11:00,972,1443
2011-10-26 12:00,866,1192
2011-10-26 13:00,958,1291
2011-10-26 14:00,968,1311
2011-10-26 15:00,1268,1847
2011-10-26 16:00,1391,1860
2011-10-26 17:00,909,1229
2011-10-26 18:00,840,1104
2011-10-26 19:00,1139,1718
2011-10-26 20:00,1206,1722
2011-10-26 21:00,1035,1641
2011-10-26 22:00,677,1050
2011-10-26 23:00,375,681
2011-10-27 00:00,197,263
2011-10-27 01:00,107,143
2011-10-27 02:00,78,137
2011-10-27 03:00,115,172
2011-10-27 04:00,151,186
2011-10-27 05:00,199,245
2011-10-27 06:00,318,436
2011-10-27 07:00,616,908
2011-10-27 08:00,703,956
2011-10-27 09:00,486,675
2011-10-27 10:00,543,707
2011-10-27 11:00,611,727
2011-10-27 12:00,741,1071
2011-10-27 13:00,580,797
2011-10-27 14:00,632,874
2011-10-27 15:00,815,1086
2011-10-27 16:00,656,831
2011-10-27 17:00,435,603
2011-10-27 18:00,474,656
2011-10-27 19:00,524,699
2011-10-27 20:00,618,939
2011-10-27 21:00,446,602
2011-10-27 22:00,257,339
2011-10-27 23:00,189,335
2011-10-28 00:00,125,170
2011-10-28 01:00,252,301
2011-10-28 02:00,122,148
2011-10-28 03:00,89,112
2011-10-28 04:00,80,111
2011-10-28 05:00,131,182
2011-10-28 06:00,336,409
2011-10-28 07:00,417,511
2011-10-28 08:00,396,512
2011-10-28 09:00,295,369
2011-10-28 10:00,337,441
2011-10-28 11:00,318,438
2011-10-28 12:00,2628,2779
2011-10-28 13:00,2017,2182
2011-10-28 14:00,339,508
2011-10-28 15:00,292,367
2011-10-28 16:00,288,416
2011-10-28 17:00,240,395
2011-10-28 18:00,213,318
2011-10-28 19:00,250,324
2011-10-28 20:00,228,331
2011-10-28 21:00,198,259
2011-10-28 22:00,134,172
2011-10-28 23:00,97,165
2011-10-29 00:00,78,117
2011-10-29 01:00,46,60
2011-10-29 02:00,46,51
2011-10-29 03:00,42,51
2011-10-29 04:00,32,35
2011-10-29 05:00,56,69
2011-10-29 06:00,124,150
2011-10-29 07:00,118,167
2011-10-29 08:00,157,201
2011-10-29 09:00,153,199
2011-10-29 10:00,147,206
